stock_date,company_name,stock_price
2/12/2021,SBIN,393.15
2/15/2021,SBIN,406.95
2/16/2021,SBIN,402.35
2/17/2021,SBIN,411.75
2/18/2021,SBIN,415.2
2/19/2021,SBIN,399.55
2/22/2021,SBIN,389.5
2/23/2021,SBIN,395.6
2/24/2021,SBIN,406.25
2/25/2021,SBIN,407.25
2/26/2021,SBIN,390.15
3/1/2021,SBIN,394.95
3/2/2021,SBIN,394.2
3/3/2021,SBIN,405.05
3/4/2021,SBIN,395.65
3/5/2021,SBIN,383.65
3/8/2021,SBIN,389.6
3/9/2021,SBIN,387.6
3/10/2021,SBIN,387.7
3/12/2021,SBIN,381.1
3/15/2021,SBIN,383.9
3/16/2021,SBIN,378.55
3/17/2021,SBIN,368.15
3/18/2021,SBIN,367.1
3/19/2021,SBIN,371.15
3/22/2021,SBIN,367
3/23/2021,SBIN,372.7
3/24/2021,SBIN,359.85
3/25/2021,SBIN,355.2
3/26/2021,SBIN,357.2
3/30/2021,SBIN,360.8
3/31/2021,SBIN,364.3
4/1/2021,SBIN,370.65
4/5/2021,SBIN,353.55
4/6/2021,SBIN,350.55
4/7/2021,SBIN,358.55
4/8/2021,SBIN,355.6
4/9/2021,SBIN,353
4/12/2021,SBIN,328.85
4/13/2021,SBIN,341
4/15/2021,SBIN,342.7
4/16/2021,SBIN,339.9
4/19/2021,SBIN,331.15
4/20/2021,SBIN,329.5
4/22/2021,SBIN,336.65
4/23/2021,SBIN,336.45
4/26/2021,SBIN,344.3
4/27/2021,SBIN,353.05
4/28/2021,SBIN,363.4
4/29/2021,SBIN,359.4
4/30/2021,SBIN,353.5
