stock_date,company_name,stock_price
12/15/2020,BHARTIARTL,504.2
12/16/2020,BHARTIARTL,516.2
12/17/2020,BHARTIARTL,515.1
12/18/2020,BHARTIARTL,510.65
12/21/2020,BHARTIARTL,490.9
12/22/2020,BHARTIARTL,500.3
12/23/2020,BHARTIARTL,507.2
12/24/2020,BHARTIARTL,517.3
12/28/2020,BHARTIARTL,521.6
12/29/2020,BHARTIARTL,520.25
12/30/2020,BHARTIARTL,516.15
12/31/2020,BHARTIARTL,509.7
1/1/2021,BHARTIARTL,515.15
1/4/2021,BHARTIARTL,517.1
1/5/2021,BHARTIARTL,514
1/6/2021,BHARTIARTL,525.3
1/7/2021,BHARTIARTL,545.25
1/8/2021,BHARTIARTL,540.25
1/11/2021,BHARTIARTL,547.15
1/12/2021,BHARTIARTL,565.75
1/13/2021,BHARTIARTL,578.25
1/14/2021,BHARTIARTL,580.55
1/15/2021,BHARTIARTL,602.65
1/18/2021,BHARTIARTL,586.95
1/19/2021,BHARTIARTL,592.3
1/20/2021,BHARTIARTL,596.15
1/21/2021,BHARTIARTL,581.35
1/22/2021,BHARTIARTL,576.85
1/25/2021,BHARTIARTL,580.75
1/27/2021,BHARTIARTL,570.8
1/28/2021,BHARTIARTL,570.9
1/29/2021,BHARTIARTL,553.6
2/1/2021,BHARTIARTL,579.15
2/2/2021,BHARTIARTL,599.35
2/3/2021,BHARTIARTL,608.85
2/4/2021,BHARTIARTL,600.6
2/5/2021,BHARTIARTL,581.1
2/8/2021,BHARTIARTL,597.3
2/9/2021,BHARTIARTL,598.95
2/10/2021,BHARTIARTL,590.2
2/11/2021,BHARTIARTL,598.1
2/12/2021,BHARTIARTL,586.25
2/15/2021,BHARTIARTL,593.7
2/16/2021,BHARTIARTL,593.95
2/17/2021,BHARTIARTL,593.85
2/18/2021,BHARTIARTL,589.05
2/19/2021,BHARTIARTL,581.35
2/22/2021,BHARTIARTL,570.3
2/23/2021,BHARTIARTL,565.55
2/24/2021,BHARTIARTL,572.95
2/25/2021,BHARTIARTL,579.15
2/26/2021,BHARTIARTL,556.3
3/1/2021,BHARTIARTL,532.2
3/2/2021,BHARTIARTL,541.2
3/3/2021,BHARTIARTL,546.3
3/4/2021,BHARTIARTL,539.6
3/5/2021,BHARTIARTL,532.8
3/8/2021,BHARTIARTL,525.7
3/9/2021,BHARTIARTL,521.75
3/10/2021,BHARTIARTL,525.85
3/12/2021,BHARTIARTL,524.2
3/15/2021,BHARTIARTL,522.85
3/16/2021,BHARTIARTL,529.3
3/17/2021,BHARTIARTL,522.9
3/18/2021,BHARTIARTL,527.2
3/19/2021,BHARTIARTL,529.95
3/22/2021,BHARTIARTL,528
3/23/2021,BHARTIARTL,529.25
3/24/2021,BHARTIARTL,523.65
3/25/2021,BHARTIARTL,507.75
3/26/2021,BHARTIARTL,522.5
3/30/2021,BHARTIARTL,521.5
3/31/2021,BHARTIARTL,517.3
4/1/2021,BHARTIARTL,520.8
4/5/2021,BHARTIARTL,528.25
4/6/2021,BHARTIARTL,532.2
4/7/2021,BHARTIARTL,541.6
4/8/2021,BHARTIARTL,543
4/9/2021,BHARTIARTL,545.25
4/12/2021,BHARTIARTL,522.45
4/13/2021,BHARTIARTL,536.15
4/15/2021,BHARTIARTL,539.35
4/16/2021,BHARTIARTL,540.75
4/19/2021,BHARTIARTL,526.45
4/20/2021,BHARTIARTL,530.2
4/22/2021,BHARTIARTL,530.85
4/23/2021,BHARTIARTL,522.6
4/26/2021,BHARTIARTL,527.55
4/27/2021,BHARTIARTL,534.3
4/28/2021,BHARTIARTL,544.3
4/29/2021,BHARTIARTL,540.85
4/30/2021,BHARTIARTL,536.75
