stock_date,company_name,stock_price
8/4/2020,CIPLA,681.35
8/3/2020,CIPLA,681.6
7/31/2020,CIPLA,688.55
7/30/2020,CIPLA,707.55
7/29/2020,CIPLA,757.75
7/28/2020,CIPLA,786.85
7/27/2020,CIPLA,817.25
7/24/2020,CIPLA,832.65
7/23/2020,CIPLA,828.25
7/22/2020,CIPLA,779.65
7/21/2020,CIPLA,787.5
7/20/2020,CIPLA,782.25
7/17/2020,CIPLA,790.6
7/16/2020,CIPLA,806.7
7/15/2020,CIPLA,795.9
7/14/2020,CIPLA,796.05
7/13/2020,CIPLA,806.3
7/10/2020,CIPLA,802.6
7/9/2020,CIPLA,811.6
7/8/2020,CIPLA,866.1
7/7/2020,CIPLA,898.15
7/6/2020,CIPLA,901.95
7/3/2020,CIPLA,870.35
7/2/2020,CIPLA,886.2
7/1/2020,CIPLA,875.05
6/30/2020,CIPLA,893.4
6/29/2020,CIPLA,927.65
6/26/2020,CIPLA,915.3
6/25/2020,CIPLA,927.2
6/24/2020,CIPLA,990.4
6/23/2020,CIPLA,992.75
6/22/2020,CIPLA,986.6
6/19/2020,CIPLA,961.05
6/18/2020,CIPLA,1003.3
6/17/2020,CIPLA,1011.55
6/16/2020,CIPLA,989.55
6/15/2020,CIPLA,975.4
6/12/2020,CIPLA,967.45
6/11/2020,CIPLA,972.55
6/10/2020,CIPLA,977.55
6/9/2020,CIPLA,987.6
6/8/2020,CIPLA,996.55
6/5/2020,CIPLA,1021.85
6/4/2020,CIPLA,1063.7
6/3/2020,CIPLA,1035.1
6/2/2020,CIPLA,988.9
6/1/2020,CIPLA,1026.05
5/29/2020,CIPLA,1015.85
5/28/2020,CIPLA,1019.8
5/27/2020,CIPLA,1016.65
5/26/2020,CIPLA,1012.9
5/22/2020,CIPLA,1012.05
5/21/2020,CIPLA,1014
5/20/2020,CIPLA,1076.35
5/19/2020,CIPLA,1093.5
5/18/2020,CIPLA,1088.7
5/15/2020,CIPLA,1045.7
5/14/2020,CIPLA,1028.45
5/13/2020,CIPLA,1001.1
5/12/2020,CIPLA,975.05
5/11/2020,CIPLA,989.25
5/8/2020,CIPLA,960.95
5/7/2020,CIPLA,935.15
5/6/2020,CIPLA,911.4
5/5/2020,CIPLA,993
5/4/2020,CIPLA,1043.95
4/30/2020,CIPLA,1026.7
