stock_date,company_name,stock_price
1/27/2021,WIPRO,446.45
1/28/2021,WIPRO,431.9
1/29/2021,WIPRO,417.9
2/1/2021,WIPRO,421.5
2/2/2021,WIPRO,428.35
2/3/2021,WIPRO,433.5
2/4/2021,WIPRO,429.9
2/5/2021,WIPRO,425.55
2/8/2021,WIPRO,435.3
2/9/2021,WIPRO,439.35
2/10/2021,WIPRO,439
2/11/2021,WIPRO,437
2/12/2021,WIPRO,442
2/15/2021,WIPRO,439.7
2/16/2021,WIPRO,437.55
2/17/2021,WIPRO,430.2
2/18/2021,WIPRO,432.95
2/19/2021,WIPRO,429.95
2/22/2021,WIPRO,418.7
2/23/2021,WIPRO,415.5
2/24/2021,WIPRO,423.1
2/25/2021,WIPRO,421.3
2/26/2021,WIPRO,410.3
3/1/2021,WIPRO,414.4
3/2/2021,WIPRO,430.4
3/3/2021,WIPRO,435.5
3/4/2021,WIPRO,438.8
3/5/2021,WIPRO,420.85
3/8/2021,WIPRO,416.9
3/9/2021,WIPRO,419.2
3/10/2021,WIPRO,426.7
3/12/2021,WIPRO,425.2
3/15/2021,WIPRO,426.35
3/16/2021,WIPRO,429.3
3/17/2021,WIPRO,419.65
3/18/2021,WIPRO,410.15
3/19/2021,WIPRO,410.5
3/22/2021,WIPRO,414.45
3/23/2021,WIPRO,415.5
3/24/2021,WIPRO,411
3/25/2021,WIPRO,399.65
3/26/2021,WIPRO,403.9
3/30/2021,WIPRO,418.1
3/31/2021,WIPRO,414.15
4/1/2021,WIPRO,416.4
4/5/2021,WIPRO,425.45
4/6/2021,WIPRO,427.15
4/7/2021,WIPRO,438
4/8/2021,WIPRO,442.1
4/9/2021,WIPRO,450.1
4/12/2021,WIPRO,432.6
4/13/2021,WIPRO,418.95
4/15/2021,WIPRO,430.7
4/16/2021,WIPRO,469.2
4/19/2021,WIPRO,472.75
4/20/2021,WIPRO,470.1
4/22/2021,WIPRO,486.65
4/23/2021,WIPRO,475.7
4/26/2021,WIPRO,480.3
4/27/2021,WIPRO,485.05
4/28/2021,WIPRO,489.3
4/29/2021,WIPRO,489.85
4/30/2021,WIPRO,492.75
