,stock_date,company_name,stock_price
144,2020-11-23,BHARTIARTL,477.25
145,2020-11-24,BHARTIARTL,474.25
146,2020-11-25,BHARTIARTL,464.1
147,2020-11-26,BHARTIARTL,468.4
148,2020-11-27,BHARTIARTL,463.25
149,2020-12-01,BHARTIARTL,479.45
150,2020-12-02,BHARTIARTL,484.9
151,2020-12-03,BHARTIARTL,479.9
152,2020-12-04,BHARTIARTL,493.75
153,2020-12-07,BHARTIARTL,508.95
154,2020-12-08,BHARTIARTL,503.6
155,2020-12-09,BHARTIARTL,503.05
156,2020-12-10,BHARTIARTL,505.15
157,2020-12-11,BHARTIARTL,504.4
158,2020-12-14,BHARTIARTL,503.05
159,2020-12-15,BHARTIARTL,504.2
160,2020-12-16,BHARTIARTL,516.2
161,2020-12-17,BHARTIARTL,515.1
162,2020-12-18,BHARTIARTL,510.65
163,2020-12-21,BHARTIARTL,490.9
164,2020-12-22,BHARTIARTL,500.3
165,2020-12-23,BHARTIARTL,507.2
166,2020-12-24,BHARTIARTL,517.3
167,2020-12-28,BHARTIARTL,521.6
168,2020-12-29,BHARTIARTL,520.25
169,2020-12-30,BHARTIARTL,516.15
170,2020-12-31,BHARTIARTL,509.7
171,2021-01-01,BHARTIARTL,515.15
172,2021-01-04,BHARTIARTL,517.1
173,2021-01-05,BHARTIARTL,514.0
174,2021-01-06,BHARTIARTL,525.3
175,2021-01-07,BHARTIARTL,545.25
176,2021-01-08,BHARTIARTL,540.25
177,2021-01-11,BHARTIARTL,547.15
178,2021-01-12,BHARTIARTL,565.75
179,2021-01-13,BHARTIARTL,578.25
180,2021-01-14,BHARTIARTL,580.55
181,2021-01-15,BHARTIARTL,602.65
182,2021-01-18,BHARTIARTL,586.95
183,2021-01-19,BHARTIARTL,592.3
184,2021-01-20,BHARTIARTL,596.15
185,2021-01-21,BHARTIARTL,581.35
186,2021-01-22,BHARTIARTL,576.85
187,2021-01-25,BHARTIARTL,580.75
188,2021-01-27,BHARTIARTL,570.8
189,2021-01-28,BHARTIARTL,570.9
190,2021-01-29,BHARTIARTL,553.6
191,2021-02-01,BHARTIARTL,579.15
192,2021-02-02,BHARTIARTL,599.35
193,2021-02-03,BHARTIARTL,608.85
194,2021-02-04,BHARTIARTL,600.6
195,2021-02-05,BHARTIARTL,581.1
196,2021-02-08,BHARTIARTL,597.3
197,2021-02-09,BHARTIARTL,598.95
198,2021-02-10,BHARTIARTL,590.2
199,2021-02-11,BHARTIARTL,598.1
200,2021-02-12,BHARTIARTL,586.25
201,2021-02-15,BHARTIARTL,593.7
202,2021-02-16,BHARTIARTL,593.95
203,2021-02-17,BHARTIARTL,593.85
204,2021-02-18,BHARTIARTL,589.05
